game_id,team_id,player_id,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FgAtt,FgMade,FtAtt,FtMade,OffReb,DefReb,Reb,Ast,Pts,Tov,Stl,Blk,BlkAgainst,FoulPers,PlusMinus,MinSeconds
31177,86,9533,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,191
31184,86,9533,4,3,1,1,5,4,4,3,0,1,1,1,12,1,0,1,0,2,13,909
31198,86,9533,3,2,1,0,4,2,0,0,0,0,0,2,4,0,0,0,0,1,2,552
31227,86,9533,3,1,0,0,3,1,4,2,0,2,2,0,4,0,0,0,1,2,-8,1023
31236,86,9533,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,-1,609
31252,86,9533,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,2,16,1213
31269,86,9533,2,1,3,1,5,2,0,0,0,0,0,0,5,0,0,0,0,0,-7,532
31281,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31316,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,203
31334,86,9533,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,144
31350,86,9533,1,1,1,0,2,1,6,5,0,3,3,4,7,2,0,0,0,2,-3,1037
31364,86,9533,6,2,3,1,9,3,2,1,0,4,4,0,8,2,2,0,2,3,-12,1189
31378,86,9533,4,0,4,1,8,1,2,1,1,2,3,2,4,2,2,1,3,3,-6,1637
31401,86,9533,6,0,4,2,10,2,0,0,0,3,3,2,6,2,1,0,2,2,-5,1243
31403,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
31414,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59
31438,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
31461,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31467,86,9533,5,2,3,1,8,3,4,4,0,0,0,1,11,2,2,0,1,3,1,1922
31489,86,9533,1,1,2,1,3,2,4,2,0,1,1,0,7,0,1,0,0,3,7,2072
31513,86,9533,3,0,2,1,5,1,6,3,1,2,3,2,6,1,0,0,1,3,16,1392
31542,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,16
31559,86,9533,1,1,2,1,3,2,0,0,0,1,1,0,5,2,1,0,0,4,13,805
31579,86,9533,2,1,2,0,4,1,2,1,0,1,1,1,3,0,0,0,0,0,-6,761
31601,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31626,86,9533,4,2,0,0,4,2,4,2,0,0,0,2,6,0,1,0,0,0,2,720
31640,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31644,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112
31671,86,9533,3,1,0,0,3,1,0,0,0,2,2,0,2,1,0,0,1,1,-4,411
31686,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106
31709,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
31718,86,9533,2,1,0,0,2,1,2,2,0,1,1,0,4,0,0,0,0,0,0,281
31738,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,45
31743,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31765,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
31771,86,9533,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,-6,180
31791,86,9533,4,3,1,0,5,3,4,3,1,2,3,1,9,0,0,0,0,1,3,720
31803,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,157
31814,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,143
31829,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31859,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,294
31873,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,98
31880,86,9533,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,132
31897,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31934,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
31950,86,9533,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,-4,182
31965,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,37
31976,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32002,86,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31177,86,9166,6,3,2,0,8,3,0,0,1,3,4,4,6,1,0,0,0,1,1,1212
31184,86,9166,5,3,4,2,9,5,0,0,0,1,1,3,12,0,2,0,1,2,29,1079
31198,86,9166,1,0,4,1,5,1,2,2,1,4,5,10,5,0,1,0,0,0,23,1618
31227,86,9166,5,4,3,1,8,5,2,1,3,2,5,9,12,3,0,0,0,2,8,2062
31236,86,9166,6,1,1,1,7,2,0,0,1,2,3,7,5,3,0,0,0,2,13,1645
31252,86,9166,9,3,2,1,11,4,2,2,0,1,1,1,11,2,1,0,1,4,-15,1554
31269,86,9166,1,1,2,1,3,2,0,0,0,3,3,9,5,2,1,0,0,3,13,1955
31281,86,9166,6,3,1,1,7,4,0,0,0,1,1,3,9,0,2,0,0,3,-8,1379
31308,86,9166,4,3,4,1,8,4,0,0,0,4,4,0,9,0,0,0,0,2,13,1658
31316,86,9166,2,0,1,0,3,0,0,0,0,2,2,7,0,4,2,0,0,2,-2,1718
31334,86,9166,2,1,4,0,6,1,0,0,0,0,0,5,2,1,0,0,0,2,-3,1218
31350,86,9166,2,1,4,1,6,2,3,2,0,1,1,13,7,3,0,0,1,2,16,2310
31364,86,9166,5,3,1,1,6,4,3,3,0,2,2,3,12,0,1,0,0,5,27,1686
31378,86,9166,2,1,6,4,8,5,1,1,0,0,0,9,15,0,1,0,0,1,15,1431
31401,86,9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31403,86,9166,3,1,4,1,7,2,2,2,0,1,1,5,7,0,0,1,0,3,11,2009
31414,86,9166,3,0,2,1,5,1,0,0,1,3,4,6,3,3,0,0,0,1,0,1523
31438,86,9166,6,2,3,3,9,5,2,2,0,2,2,1,15,0,2,1,2,3,1,1646
31461,86,9166,2,1,3,2,5,3,0,0,0,2,2,4,8,3,1,0,0,3,6,2522
31467,86,9166,8,3,3,1,11,4,2,2,0,2,2,5,11,3,0,1,0,2,-15,1697
31489,86,9166,7,4,5,3,12,7,0,0,0,3,3,3,17,1,1,0,0,3,4,2203
31513,86,9166,4,3,3,2,7,5,0,0,0,1,1,6,12,2,0,0,0,3,34,1448
31542,86,9166,4,1,2,0,6,1,0,0,0,1,1,4,2,1,1,0,0,4,13,1650
31559,86,9166,4,0,6,3,10,3,2,2,2,3,5,10,11,1,0,0,0,3,1,2325
31579,86,9166,4,3,6,4,10,7,2,2,0,0,0,2,20,4,2,2,0,1,13,1368
31601,86,9166,4,2,4,1,8,3,0,0,0,0,0,7,7,1,1,0,0,2,9,1850
31611,86,9166,8,4,3,0,11,4,3,2,2,3,5,1,10,1,1,0,0,4,-12,1831
31626,86,9166,4,2,4,2,8,4,0,0,0,1,1,6,10,1,0,0,0,2,-16,1535
