2Pt_Field_Goal_Attempts,2PA
2Pt_Field_Goals_Made,2PM
3Pt_Field_Goal_Attempts,3PA
3Pt_Field_Goals_Made,3PM
Total_Field_Goal_Attempts,FGA
Total_Field_Goals_Made,FGM
Free_Throw_Attempts,FTA
Free_Throws_Made,FTM
Offensive_Rebounds,OREB
Defensive_Rebounds,DREB
Total_Rebounds,REB
Assists,AST
Points,PTS
Turnovers,TOV
Steals,STL
Blocks,BS
Blocks_Against,BA
Personal_Fouls,PF
Plus/Minus,+/-
Minutes_Played,MIN
Fouls,F
Fouls_Drawn,FD
Personal_Fouls_Drawn,PFD
Technical_Fouls,TF
Technical_Fouls_Drawn,TFD
Flagrant_1_Fouls,FF1
Flagrant_1_Fouls_Drawn,FF1D
Flagrant_2_Fouls,FF2
Flagrant_2_Fouls_Drawn,FF2D
Ejections_From_Games,EJE
